               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038253,            0.017838,            0.026485,              0.1709,             0.48611,             0.46392,             0.32279,            0.018093,           0.0078218,            0.012888,             0.00307,             0.00307,             0.00307
                  37,            0.039041,             0.02275,            0.021513,             0.17942,             0.48611,             0.41957,             0.29695,            0.018419,           0.0077795,            0.012894,            0.002872,            0.002872,            0.002872
                  38,            0.038695,            0.022582,            0.019629,             0.17059,             0.48611,             0.42769,             0.31013,            0.017993,           0.0076752,            0.012894,            0.002674,            0.002674,            0.002674
                  39,            0.041283,             0.02226,            0.023376,             0.18324,             0.48611,             0.41664,             0.28641,            0.019221,           0.0074118,            0.012966,            0.002476,            0.002476,            0.002476
                  40,            0.040866,            0.023849,            0.019441,             0.19132,             0.48611,             0.41894,             0.31703,             0.01693,           0.0073873,             0.01291,            0.002278,            0.002278,            0.002278
                  41,            0.037477,            0.030333,            0.020708,              0.1848,             0.48611,             0.39134,              0.2915,            0.016964,           0.0074194,            0.012887,             0.00208,             0.00208,             0.00208
                  42,            0.032572,            0.015864,            0.025384,             0.17177,             0.48611,             0.38979,             0.28696,            0.017826,           0.0073616,            0.012877,            0.001882,            0.001882,            0.001882
                  43,             0.03562,            0.019864,            0.024508,             0.17949,             0.48611,             0.38975,              0.2929,            0.016673,           0.0072869,             0.01289,            0.001684,            0.001684,            0.001684
                  44,            0.033801,             0.02127,            0.023312,             0.17705,             0.48611,             0.39057,             0.29526,            0.016734,           0.0071238,            0.012972,            0.001486,            0.001486,            0.001486
                  45,            0.032998,            0.019936,            0.024346,             0.17797,             0.48611,             0.39777,             0.30081,            0.016532,           0.0071025,            0.013035,            0.001288,            0.001288,            0.001288
                  46,             0.03509,            0.021446,            0.023257,             0.17433,             0.48611,             0.39729,              0.3063,            0.016374,           0.0070119,            0.013066,             0.00109,             0.00109,             0.00109
                  47,            0.033154,            0.019511,            0.021048,             0.16337,             0.48611,             0.40085,             0.30288,            0.016229,           0.0069259,            0.013071,            0.000892,            0.000892,            0.000892
                  48,            0.035667,            0.021745,            0.024143,             0.16338,             0.48611,             0.40528,             0.30796,            0.016305,           0.0068194,             0.01309,            0.000694,            0.000694,            0.000694
                  49,            0.036635,            0.022848,            0.022072,             0.17037,             0.53608,             0.40521,              0.3072,            0.016194,           0.0068257,            0.013127,            0.000496,            0.000496,            0.000496
